time height dist satId lat lon
2018.947 291.893310546875 10144.3598566997 0 41.1156271200299 -95.8842675627818
2018.947 291.893249511719 10226.2795661466 0 41.1163643910142 -95.8843589507274
2018.947 291.904113769531 10307.918528802 0 41.1170991334937 -95.8844535023165
2018.947 292.052551269531 24835.6670442363 0 41.1846974803021 -95.8930221320578
2018.947 292.007751464844 24831.4208485672 0 41.1850355474672 -95.893065736748
2018.947 291.986297607422 24825.0710866676 0 41.1855383544646 -95.8931301715875
2018.947 291.919647216797 24816.0596372685 0 41.1862366245574 -95.8932173021962
2018.947 293.911041259766 38435.7071920506 0 41.2726552886351 -95.9041857009975
2018.947 294.025970458984 38447.40537969 0 41.2736911690207 -95.9043189372389
2018.947 294.063751220703 38452.2523757887 0 41.2741321552235 -95.9043772774741
2018.947 294.095977783203 38455.8641041134 0 41.2744585308434 -95.9044201582272
2018.947 293.988586425781 38461.891647993 0 41.2749887067434 -95.9044878626006
2018.947 295.400299072266 39028.0455544092 0 41.2890696970444 -95.9062710761656
2018.947 295.400054931641 39053.9984727472 0 41.2897835761419 -95.9063615609619
2018.947 295.366973876953 39101.1620225937 0 41.2910827308832 -95.9065271115264
2018.947 295.406677246094 47443.3607669855 0 41.3024854671904 -95.9079702698178
2018.947 295.371704101562 47444.1740497714 0 41.3032243509759 -95.908066639893
2018.947 295.232421875 47457.5943941459 0 41.3202405159255 -95.9102228339914
2018.947 299.710784912109 64407.3288023306 0 41.4348234399045 -95.9247977708008
2018.947 298.158325195312 64703.7783631633 0 41.4382571882815 -95.9252334409736
2018.947 298.054595947266 64760.3316069208 0 41.4389116535699 -95.9253153979684
2018.947 298.074645996094 64825.0676247607 0 41.4396619754084 -95.9254115132484
2018.947 298.094512939453 64881.6034964908 0 41.4403178712344 -95.9254966777225
2018.947 298.784790039062 67532.5559476788 0 41.4595839501078 -95.9279621751711
2018.947 298.843933105469 67565.0408187121 0 41.4599842648825 -95.9280138555684
2018.947 298.7275390625 67591.9072882018 0 41.4603154161685 -95.9280565136864
2018.947 298.623657226562 67640.4437783109 0 41.4609144165858 -95.9281327125768
2018.947 298.676727294922 67749.1621923529 0 41.4622582176247 -95.9283009845222
2018.947 288.830627441406 1790.21086974513 0 41.0474061385417 -95.8747422422478
2018.947 288.858764648438 1807.44118032811 0 41.0476023221754 -95.8747672223011
2018.947 288.85302734375 1825.25588216903 0 41.0478050877325 -95.874793149426
2018.947 288.853668212891 1841.99838903718 0 41.0479955839228 -95.8748176073276
2018.947 288.853668212891 1858.79811441323 0 41.0481866742492 -95.8748422277963
2018.947 288.862335205078 1874.5673401402 0 41.0483659893606 -95.8748654125573
2018.947 288.873260498047 1890.93606516818 0 41.0485520889316 -95.8748895239844
2018.947 288.859191894531 1907.89604816207 0 41.0487448939791 -95.8749145295485
2018.947 288.85009765625 1927.69931496286 0 41.0489700217777 -95.8749437278454
2018.947 288.836029052734 1947.50490842446 0 41.0491951786951 -95.8749729260137
2018.947 288.852508544922 1964.47232201585 0 41.0493880893474 -95.8749979135805
2018.947 288.837554931641 1980.81873542836 0 41.0495740238096 -95.8750218698924
2018.947 288.826568603516 1999.38706379276 0 41.0497852792158 -95.8750490168018
2018.947 288.892395019531 2017.91965478805 0 41.0499961764829 -95.8750760444101
2018.947 288.891052246094 2036.97250373121 0 41.0502130648728 -95.8751037328744
2018.947 289.244567871094 4491.41444916873 0 41.0692430888205 -95.8775096349263
2018.947 289.253936767578 4507.42765690494 0 41.0694097445736 -95.8775313251979
2018.947 289.259613037109 4520.61137284872 0 41.0695954977924 -95.8775554481695
2018.947 289.270568847656 4533.34407983927 0 41.0697748896427 -95.8775787369509
2018.947 289.278930664062 4546.94266453284 0 41.0699660826198 -95.8776030816946
2018.947 289.274047851562 4559.17990818048 0 41.0701380266588 -95.8776248452055
2018.947 289.286163330078 4572.32726302972 0 41.0703226633773 -95.8776481012593
2018.947 289.26025390625 4585.02852029918 0 41.0705009625148 -95.8776704718987
2018.947 289.292144775391 4598.64873833967 0 41.0706921129719 -95.8776943962969
2018.947 289.26025390625 4611.37350806174 0 41.0708706735635 -95.8777167176093
2018.947 289.27685546875 4623.64304747774 0 41.0710428176288 -95.8777382026935
2018.947 291.846801757812 9695.74709033259 0 41.1115900719503 -95.8828826348484
2018.947 291.841522216797 9716.89003081069 0 41.111780356621 -95.8829069434813
2018.947 291.836517333984 9737.96526419979 0 41.1119700321427 -95.8829307330232
2018.947 291.855987548828 9758.96385976352 0 41.1121590181745 -95.8829539217436
2018.947 291.848480224609 9779.25443555571 0 41.1123416321562 -95.8829761476894
2018.947 291.872406005859 9800.25786126102 0 41.1125306617815 -95.8829990689381
2018.947 291.869384765625 9821.29346605128 0 41.1127199810058 -95.883022037125
2018.947 291.848327636719 9841.67574293823 0 41.1129034202528 -95.8830444134317
2018.947 291.864868164062 9862.78124227611 0 41.1130933683999 -95.8830676919644
2018.947 291.863159179688 9884.06762977595 0 41.1132849442779 -95.883091674684
2018.947 291.861236572266 9904.69115142056 0 41.1134705542859 -95.8831151616889
2018.947 291.868225097656 9926.76864249099 0 41.1136692497677 -95.8831405641074
2018.947 291.852447509766 9948.14492037534 0 41.1138616342787 -95.883165381434
2018.947 291.863189697266 9968.80090015507 0 41.1140475360885 -95.8831895266022
2018.947 291.860992431641 9990.14613286397 0 41.1142396410433 -95.8832145981238
2018.947 291.857574462891 10039.022043726 0 41.1146795191845 -95.8832722853151
2018.947 291.864013671875 10060.8895385721 0 41.1148763244047 -95.8832980158561
2018.947 291.859008789062 10108.1169944122 0 41.1153013670268 -95.8833528416361
2018.947 291.8427734375 10129.2740779396 0 41.1154917789728 -95.8833769717194
2018.947 291.853607177734 10151.1527075759 0 41.1156886848491 -95.8834017555187
2018.947 291.854095458984 10172.3969878416 0 41.1158798820162 -95.8834250246161
2018.947 291.856140136719 10195.0864404735 0 41.116084085679 -95.8834497897369
2018.947 291.862854003906 10216.3801894123 0 41.1162757280625 -95.8834730875987
2018.947 291.866760253906 10237.6898539468 0 41.116467513595 -95.8834965769582
2018.947 291.859252929688 10259.0088131015 0 41.1166593826435 -95.8835203417631
2018.947 291.872650146484 10280.3297410712 0 41.1168512692494 -95.8835444287251
2018.947 291.854248046875 10301.6464091401 0 41.1170431172836 -95.8835689762196
2018.947 291.851867675781 10322.950532708 0 41.1172348520168 -95.8835943192403
2018.947 291.845428466797 10344.2412510145 0 41.1174264660585 -95.8836197279912
2018.947 291.907592773438 24761.1936882721 0 41.1848665790652 -95.8921626460453
2018.947 291.894714355469 24758.8251064157 0 41.1850506823473 -95.8921857050113
2018.947 291.909973144531 24756.6092942526 0 41.1852219953183 -95.8922070185334
2018.947 291.910125732422 24754.3023295023 0 41.1853995932232 -95.8922289939476
2018.947 291.902374267578 24751.9908713841 0 41.1855772113397 -95.8922509204169
2018.947 291.875427246094 24749.6813415454 0 41.1857548535349 -95.8922728772551
2018.947 291.891143798828 24746.7909661677 0 41.1859773214489 -95.8923003983118
2018.947 291.903839111328 24744.2414000886 0 41.1861745714268 -95.8923249602521
2018.947 291.881195068359 24740.5660869958 0 41.1864612461364 -95.8923610246045
2018.947 293.919067382812 38508.8128117355 0 41.2726727578693 -95.9033008177357
2018.947 293.909545898438 38511.0267776222 0 41.2728611144935 -95.9033239847309
2018.947 293.966796875 38518.2023381541 0 41.2734723930231 -95.9033992852098
2018.947 293.957427978516 38520.460782666 0 41.2736664848871 -95.9034234371199
2018.947 293.950073242188 38522.4691707043 0 41.2738402888922 -95.9034452347973
2018.947 293.963836669922 38524.5121706072 0 41.2740187611434 -95.9034678532674
2018.947 293.953460693359 38526.5315009835 0 41.2741965250383 -95.9034905714041
2018.947 293.956939697266 38528.6012542681 0 41.2743800521503 -95.9035142092461
2018.947 293.955169677734 38530.7234847894 0 41.2745694945914 -95.903538782273
2018.947 293.953735351562 38532.8321849061 0 41.2747587463957 -95.9035634693355
2018.947 293.984161376953 38534.9339512096 0 41.2749480193318 -95.9035882465024
2018.947 293.966003417969 38536.9633182523 0 41.2751312880893 -95.9036123074653
2018.947 294.470001220703 38550.6062860999 0 41.2763415167944 -95.9037682549755
2018.947 294.475677490234 38552.881519167 0 41.2765333456004 -95.9037916021984
2018.947 294.473175048828 38555.3210977443 0 41.2767379633736 -95.9038163520253
2018.947 295.358367919922 39075.1817605557 0 41.2884817770254 -95.9052983707255
2018.947 295.362091064453 39084.3741540365 0 41.2887315409552 -95.9053285523394
2018.947 295.363861083984 39092.1065574883 0 41.2889429510302 -95.9053547339625
2018.947 295.353240966797 39099.3167356157 0 41.2891415090828 -95.905380007885
2018.947 295.343872070312 39105.9791041134 0 41.2893272925937 -95.9054047562616
2018.947 295.362579345703 39113.0717309169 0 41.2895255674303 -95.9054314006951
2018.947 295.364593505859 39120.1459171344 0 41.2897234171173 -95.9054580305017
2018.947 295.349609375 39127.2141640366 0 41.2899207746207 -95.9054844413356
2018.947 295.351013183594 39134.5164839166 0 41.2901239398232 -95.9055112876614
2018.947 295.349975585938 39144.3571780262 0 41.2903960794668 -95.9055464718019
2018.947 295.328125 39157.3120516392 0 41.2907484639176 -95.9055892449905
2018.947 295.349578857422 39176.9742451653 0 41.2912843061594 -95.9056547754092
2018.947 295.362731933594 47368.0602819088 0 41.3016643816719 -95.9069717804163
2018.947 295.351196289062 47368.2434473038 0 41.3018625369382 -95.9069972030635
2018.947 295.363342285156 47368.4808600556 0 41.3020677699984 -95.9070241054828
2018.947 295.353302001953 47368.7305934283 0 41.3022731997865 -95.9070511787171
2018.947 295.369781494141 47368.96864066 0 41.3024658666081 -95.9070766159444
2018.947 295.349548339844 47369.1995319603 0 41.302658449931 -95.9071019577583
2018.947 295.350921630859 47369.4165750206 0 41.3028508515923 -95.9071271124641
2018.947 295.339416503906 47369.6356782235 0 41.3030559361104 -95.9071537787164
2018.947 295.356414794922 47369.8059943097 0 41.3032728855357 -95.9071812514014
2018.947 295.360961914062 47369.950297418 0 41.3034894705977 -95.9072083698244
2018.947 295.202056884766 47383.3673877892 0 41.3196781489435 -95.9092672620174
2018.947 295.201446533203 47383.5388347379 0 41.3198749375886 -95.9092923946721
2018.947 295.209991455078 47383.7312013682 0 41.3200844441693 -95.9093192696399
2018.947 295.220489501953 47383.9445318725 0 41.3203068363807 -95.9093479071419
2018.947 295.176147460938 47384.2082525583 0 41.3205804304941 -95.9093831534078
2018.947 295.183380126953 47384.5076699099 0 41.3208990561051 -95.9094241088224
2018.947 299.646026611328 64444.7698806403 0 41.4347833104237 -95.9239150018915
2018.947 299.644317626953 64485.0820107912 0 41.4352495376049 -95.9239728420221
2018.947 298.058837890625 64746.6627009804 0 41.4382788974541 -95.9243562253536
2018.947 298.037994384766 64761.4655579411 0 41.438450991837 -95.9243792339323
2018.947 298.066619873047 64777.3678776009 0 41.4386359549779 -95.9244041231198
2018.947 298.080383300781 64792.1807255443 0 41.4388082563798 -95.9244273273031
2018.947 298.072265625 64807.0044614327 0 41.4389806317358 -95.9244504443473
2018.947 298.070861816406 64822.9411506884 0 41.4391658206822 -95.9244750433515
2018.947 298.042175292969 64839.4465572388 0 41.4393574262543 -95.9245001402108
2018.947 298.068756103516 64855.9786268355 0 41.4395490536331 -95.9245247082326
2018.947 298.031860351562 64872.0063847322 0 41.4397343998526 -95.9245476647789
2018.947 298.054077148438 64889.1442181955 0 41.4399324113051 -95.9245718714104
2018.947 298.068603515625 64905.1719862055 0 41.4401174990528 -95.9245943163398
2018.947 298.066467285156 64921.1877398919 0 41.4403024213352 -95.9246166916512
2018.947 298.062377929688 64937.1857224822 0 41.4404871738525 -95.9246391123617
2018.947 298.075561523438 64953.162289951 0 41.4406717701987 -95.9246616835739
2018.947 298.112274169922 64969.0988893322 0 41.4408560756724 -95.924684536767
2018.947 298.358062744141 65151.5023499579 0 41.4429742575276 -95.9249633354994
2018.947 298.712188720703 65226.6966515812 0 41.4438430804133 -95.9250696022578
2018.947 298.603912353516 67437.3275269425 0 41.4590917208844 -95.9270211077237
2018.947 298.598022460938 67465.2530643405 0 41.4594359721054 -95.9270653887036
2018.947 298.580047607422 67482.7828980871 0 41.4596521508769 -95.927093092556
2018.947 298.598388671875 67498.2361090799 0 41.4598428294583 -95.9271173885345
2018.947 298.597625732422 67514.6619033045 0 41.4600452397384 -95.9271435256241
2018.947 298.616394042969 67530.5653554318 0 41.4602413182088 -95.9271687101322
2018.947 298.624359130859 67549.0429370922 0 41.4604693109043 -95.9271977659918
2018.947 298.627166748047 67596.3772792353 0 41.4610546889123 -95.9272706637063
2018.947 298.638305664062 67634.6887673516 0 41.4615302227954 -95.9273276492319
2018.947 291.017150878906 18169.271852337 0 41.1652970668766 -95.8522037751133
2018.947 290.978454589844 18175.0301035993 0 41.1660352037845 -95.8522951462975
2018.947 291.461273193359 21562.966236724 0 41.1856469528509 -95.854765166202
2018.947 291.448181152344 21600.7096813868 0 41.1864170824154 -95.8548632894938
2018.947 291.4580078125 21641.9270870754 0 41.1872594757397 -95.8549697614907
2018.947 294.327301025391 22205.4614598877 0 41.2037003311612 -95.8570431861022
2018.947 294.341552734375 22205.4614598877 0 41.2046514219087 -95.8571651347622
2018.947 294.342651367188 22205.4614598877 0 41.2055060458866 -95.8572735255399
2018.947 294.331420898438 22205.4614598877 0 41.2063293117478 -95.8573764970442
2018.947 290.988586425781 18243.879858111 0 41.1648987540743 -95.851216418878
2018.947 290.983001708984 18245.3780746316 0 41.1650949169797 -95.851241084938
